epoch,epoch_time_sec,lambda_con,train_loss,train_rec,train_con,train_skipped_batches,eval_loss,eval_rec,eval_con,eval_skipped_batches
1,646.934,0.0,0.20621579376736074,0.20621579376736074,1.9427470891162602,0,0.143181674182415,0.143181674182415,2.794927888446384,0
2,761.623,0.0,0.12249149458877968,0.12249149458877968,2.0820574591858216,0,0.12780921657880148,0.12780921657880148,2.6113925523228114,0
3,701.776,0.05,0.11825407731412638,0.11339910230552307,0.09709950052954332,0,0.1301276591916879,0.12201737662156423,0.16220565260284478,0
4,668.394,0.1,0.11177615941774965,0.10888788374987515,0.02888275654139844,0,0.12674439193473921,0.1182106743256251,0.0853371790713734,0
5,704.61,0.1,0.10867819743927079,0.10648865279826251,0.021895446564362507,0,0.12302217491798931,0.11661051015059153,0.06411664866738849,0
6,707.242,0.1,0.10631120834085676,0.10434027199793344,0.019709363451810798,0,0.1205319344997406,0.11472039214438862,0.058115417800015876,0
7,704.636,0.1,0.10481041886589744,0.10304156276914808,0.017688559672108504,0,0.1187271819346481,0.11364424866106775,0.05082933697849512,0
8,705.562,0.1,0.10381479719371507,0.10220600474964489,0.016087923824523735,0,0.11658352828688091,0.11189898840255208,0.04684539573887984,0
9,705.402,0.1,0.10246999500074772,0.10099347778643021,0.014765172035931938,0,0.1163345685435666,0.11217943504452706,0.04155133504213558,0
10,708.912,0.1,0.10112549606898819,0.09971492879017435,0.014105674449467297,0,0.11424088329076768,0.11005763676431445,0.041832468637989624,0
11,707.538,0.1,0.10036157392191164,0.09894646934487603,0.014151047738363044,0,0.11352732322282261,0.10941556236810154,0.041117610316723584,0
12,707.21,0.1,0.09932153959466954,0.09797049715663447,0.013510425535566879,0,0.11302719348006779,0.10892618513769574,0.04101008077462514,0
13,710.576,0.1,0.09865872745562082,0.0973394484381483,0.01319278951245125,0,0.1120358573893706,0.10810110047459602,0.039347566281341846,0
14,702.629,0.1,0.09795194748375151,0.09664839066640295,0.013035568016383683,0,0.11124163013365533,0.10736481580469344,0.0387681415097581,0
15,696.797,0.1,0.0976465656149267,0.09625832387293227,0.01388241754223903,0,0.1102500012351407,0.10651327404710982,0.03736727483984497,0
16,708.255,0.1,0.0966772618167328,0.09543448295256104,0.012427787493086524,0,0.11124074740542306,0.10749923578566975,0.03741511156161626,0
17,703.46,0.1,0.09617874804470274,0.09494214888774988,0.012365991903487781,0,0.10965886091192563,0.10612018704414368,0.03538674143039518,0
18,707.649,0.1,0.09543489265923548,0.09420573807726003,0.0122915459881452,0,0.11029643482632107,0.10683370100127326,0.034627343403796355,0
19,706.722,0.1,0.09497107675280234,0.09387295985161656,0.010981167656266028,0,0.10960424409972297,0.10625169807010226,0.033525463959409134,0
20,702.009,0.1,0.0942747662163744,0.09312173803948393,0.011530281139556507,0,0.11013003769848081,0.10662768350707161,0.035023536802166036,0
21,699.879,0.1,0.09376640751807376,0.09262210222506764,0.011443052711811933,0,0.10930259260866378,0.10588922227422397,0.03413370358240273,0
22,697.172,0.1,0.09336662160025702,0.09216407060322135,0.012025508625113,0,0.10975466966629029,0.10639535271459155,0.03359317053109408,0
23,697.144,0.1,0.09263680387626995,0.09146655709153474,0.011702468702475531,0,0.11027823843889767,0.10697622564103869,0.03302012959288226,0
24,700.759,0.1,0.0923377353284094,0.09122688987038352,0.011108452847434416,0,0.11113002854916784,0.10789567886127366,0.03234349360896482,0
25,704.286,0.1,0.0919942665130201,0.09084801089884055,0.011462555601816587,0,0.10978886956969897,0.10660331712828743,0.03185552638024092,0
26,689.586,0.1,0.0915294905503591,0.09042837880175524,0.011011115918782625,0,0.1101332179374165,0.10698469703396161,0.03148520864132378,0
27,707.439,0.1,0.09098635564247767,0.08998035726824193,0.01005998257961538,0,0.10952183132370313,0.10621800944209099,0.033038213952547975,0
28,706.485,0.1,0.09049035992586252,0.08945440531078011,0.010359547499830675,0,0.11017413511872291,0.10706150184075038,0.031126334528542226,0
29,703.824,0.1,0.09025949859859968,0.0892192442158256,0.01040254408267863,0,0.1094022661447525,0.10625797385970752,0.031442925282236606,0
30,706.758,0.1,0.08991658223999871,0.08883020629485448,0.010863761060090378,0,0.11043849753008948,0.10727880290812916,0.031596947409626513,0
31,705.931,0.1,0.08988932481016776,0.08878831374223786,0.011010110809119664,0,0.1099320756064521,0.1068282282186879,0.031038470700797106,0
32,700.92,0.1,0.08934150189161301,0.08829865961363821,0.010428422395930146,0,0.1095980967912409,0.10654828887846735,0.030498079355392192,0
33,712.155,0.1,0.08929947513823558,0.08826373469347906,0.010357405685565688,0,0.11083286934428745,0.10773085960083538,0.031020099576562644,0
34,705.667,0.1,0.08921911066228694,0.08815748599743602,0.010616246725178578,0,0.10883461253510582,0.10586568175090684,0.02968930597934458,0
35,706.453,0.1,0.08926648821192558,0.0881893592801961,0.01077128934645743,0,0.10946003960238562,0.10638371217581961,0.03076327418287595,0
36,710.983,0.1,0.08902297506127695,0.08797083882370381,0.010521362151367345,0,0.11024087808198399,0.10714795142412185,0.03092927040739192,0
37,706.295,0.1,0.0889282286016628,0.08786083884311445,0.010673896149929725,0,0.10961361245976554,0.10640443083312777,0.03209181965018312,0
38,709.403,0.1,0.08916222069299583,0.08801985822542749,0.011423625751878276,0,0.10884083898531066,0.10581819655166733,0.030226425029751328,0
39,696.505,0.1,0.08896595855252912,0.08795432502573186,0.010116334657438776,0,0.10900061809354358,0.10593089941475127,0.03069718951980273,0
40,750.258,0.1,0.08893689031552787,0.08789035890138511,0.010465312749147415,0,0.10961472160286373,0.10652705944246715,0.030876618758257892,0
